,box_loss,object_loss,no_object_loss,class_loss,total_loss
0,"[0.19557584822177887, 0.11273844540119171, 0.23238053917884827, 0.12824755907058716, 0.11973735690116882]","[0.2774990499019623, 0.10647109150886536, 0.16531424224376678, 0.15877850353717804, 0.07693878561258316]","[0.9779120683670044, 0.9723514318466187, 0.9687727689743042, 0.9628188014030457, 0.9586566686630249]","[3.0303897857666016, 1.6371192932128906, 2.473964214324951, 1.7247698307037354, 0.7903858423233032]","[4.481376647949219, 2.8286802768707275, 3.8404316902160645, 2.9746146202087402, 1.9457186460494995]"
1,1.5708180665969849,0.23116284608840942,0.9700362086296082,2.781722068786621,5.553739547729492
2,"[0.08826598525047302, 0.2769445478916168, 0.10544221848249435, 0.1606358140707016, 0.11838190257549286]","[0.05658474192023277, 0.1112651526927948, 0.1149943619966507, 0.10271938145160675, 0.11310562491416931]","[0.953990638256073, 0.9514226913452148, 0.9471130967140198, 0.9432125687599182, 0.9404540061950684]","[0.1801515370607376, 1.1121307611465454, 0.6413297653198242, 0.5811127424240112, 1.1040526628494263]","[1.278993010520935, 2.451763153076172, 1.8088793754577637, 1.7876805067062378, 2.275994300842285]"
3,1.3840696811676025,0.2000337392091751,0.964748740196228,2.740593671798706,5.289445877075195
